Время начала - чч:мм:сс.мс	Время начала - сс.мс	Время окончания - чч:мм:сс.мс	Время окончания - сс.мс	@amg1995f-text	@lk1990f-text	@mn1985m-text	
00:04:54.620	294.62	00:04:55.940	295.94	а/ [нрзб]/ еще раз здравствуйте		
00:04:58.914	298.914	00:04:59.454	299.454	хх...		
00:05:15.925	315.925	00:05:16.731	316.731	нет		уф сегодня/ вечер приза.. у меня не ну в детстве как [нрзб] неделю назад считается в детстве? подходит ко мне Лиза/ вот там в гримерке говорит а ты знаешь кто придет через неделю? я говорю да кто? она говорит да/ ты угадай вот ты кого/ хотел здесь увидеть? неужели Филипп Бедросовича? она говорит нет/ еще лучше/ я говорю кто? Алина Гросу будет я грю серьезнго я так обрадовался правда/ а потом начал готовиться к эфиру и узнал что Вы/ вышли замуж
00:05:22.500	322.5	00:05:27.820	327.82	да вы что! ну не расстраивайтесь/ не расстраивайтесь		
00:05:34.750	334.75	00:05:36.978	336.978	почему? #смеется#		
00:05:41.333	341.333	00:05:41.395	341.395	ага	слушай кстати а ты знаешь вот такая фишка есть что многие аа знаменитые люди аа скрывают свой статус вообще личный ну чтобы так покло... ну особенно у мужчин такая фишка [нрзб] не показывают своих девушек/ не показывают своих жен не рассказывают свой вот это вот/ в активном поиске у них все время статус чтобы фанатки а не отпадали вот у тебя такая история была вообще в голове? [нрзб] надо?	
00:05:46.622	346.622	00:05:50.264	350.264	[нрзб] думаю/ #одновременно#	слушай кстати а ты знаешь вот такая фишка есть что многие аа знаменитые люди аа скрывают свой статус вообще личный ну чтобы так покло... ну особенно у мужчин такая фишка [нрзб] не показывают своих девушек/ не показывают своих жен не рассказывают свой вот это вот/ в активном поиске у них все время статус чтобы фанатки а не отпадали вот у тебя такая история была вообще в голове? [нрзб] надо?	
00:05:58.093	358.093	00:05:59.156	359.156	только что #смеется#		
00:06:01.200	361.2	00:06:05.250	365.25	на самом деле а какой кошмар! все		
00:06:05.582	365.582	00:06:08.253	368.253	Саша прости это мой муж/ эээ		
00:06:08.990	368.99	00:06:13.844	373.844	Саша привет #смеется#/ я в шоке просто я в какой-то степени		
00:06:14.566	374.566	00:06:38.113	398.113	блин ну а что я не человек/ я не знаю как бы ну по идее надо уже было выходить замуж все-таки четыре четыре года/ вместе/ да/ и мы просто как две половинки одного целого мы очень похожи что внешне что внутренне а иногда кажется что мы сиамские близнецы или как брат с сестрой/ и поэтому нам настолько м легко и просто то есть вместе		
00:06:52.000	412.0	00:07:12.283	432.283	да/ как сказать с одной стороны он/ нет у него очень много работы поэтому он тоже старается все-таки становиться на ноги у нас такой период взросления становления сейчас/ но я последнее время реально не могу без него мотаться куда-то я всегда его беру с собой/ даже если он сильно сопротивляется и говорит что у меня работа/ но это но/ я стараюсь		
00:07:14.718	434.718	00:07:21.593	441.593	н... нет/ как бы/ Саша нене Саша нене подчиненный поэтому ему наверное чуть попроще		
00:07:22.500	442.5	00:07:31.125	451.125	он может регулировать и он может в принципе и на расстоянии как бы какими-то делами заниматься/ ну конечно ему важно все контролировать потому что без контроля не получается так		
